Jkn;Kohanimi;Keel;Kohanime staatus;Kohanime olek;Nimeobjekti liik;Lisainfo;Maakond,omavalitsus,asustusüksus;X;Y;
169;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Pataste küla;6496512.83;662521.12;
170;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Kaavi küla;6428970.78;391802.91;
171;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Kellassaare küla;6552091.83;670966.51;
172;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Kärgula küla;6423844.45;658804.06;
173;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Sääre küla;6422257.06;385723.72;
174;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Näduvere küla;6528065.07;655203.41;
175;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Häädemeeste vald, Tahkuranna küla;6457223.4;529519.25;
176;Karl-Toomase;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Kanepi vald, Puugi küla;6443160.87;655132.5;
177;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Kiraste küla;6481374.83;498384.83;
178;Karlapõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Kanepi vald, Sirvaste küla;6436286.29;660875.24;
179;Karlametsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Kanepi vald, Sirvaste küla;6436006.4;660926.64;
180;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Väike-Maarja vald, Avispea küla;6554258.47;639483.36;
181;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Haljala vald, Karepa küla;6602602.45;635814.81;
182;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Rõuge vald, Mutemetsa küla;6389300.23;664604.76;
183;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Haljala vald, Karepa küla;6602243.72;637939.14;
184;Karlo;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Viljandi vald, Tõnuküla;6472908.15;603714.62;
185;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Vormsi vald, Saxby küla;6543085.97;449424.08;
186;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Navi küla;6420694.55;674124.9;
187;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kiili vald, Vaela küla;6577081.7;546657.95;
188;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Ermistu küla;6473102.93;501046.07;
189;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Lääne-Harju vald, Nahkjala küla;6567354.12;516045.82;
190;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Mujaste küla;6493977.74;430408.97;
191;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Murika küla;6495642.49;414685.43;
192;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kastre vald, Kitseküla;6465625.96;670008.53;
193;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Järva vald, Vetepere küla;6554587.28;591973;
194;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Peipsiääre vald, Kusma küla;6489404.72;672991.77;
195;Karlu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Jausa küla;6514840.12;424526.77;
196;Karl-Hendriku;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Türi vald, Põikva küla;6509136.57;577400.85;
197;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Haljala vald, Metsiku küla;6597401.43;621304.42;
198;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Kavaru küla;6461052.46;511101.1;
199;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Varesmetsa küla;6555009.96;691819.45;
200;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Saarde vald, Saarde küla;6442553.65;555963.94;
201;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Saarde vald, Saarde küla;6443172.96;554620.61;
202;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Kohila vald, Adila küla;6553018.21;536611.96;
203;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Verijärve küla;6410587.88;681965.16;
204;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Harku vald, Harkujärve küla;6586196.62;534231.21;
205;Karla-Tabase;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Karla küla;6560690.61;564790.97;
206;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Otepää vald, Lauküla;6421047;640637.76;
207;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kuusalu vald, Leesi küla;6606973.65;584976;
208;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Jursi küla;6471570.48;433685.63;
209;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Kavaru küla;6460967.62;509854.24;
210;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Lõu küla;6439516.39;392793.58;
211;Karlssoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Spithami küla / Spithamn;6564771.25;472773.16;
212;Karl-Tasuja;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Väike-Maarja vald, Ebavere küla;6554554.36;627396.92;
213;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Uusküla;6528333.94;495602.96;
214;Karlipõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Uusküla;6528411.77;495816.28;
215;Karlshofi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Kirivalla küla;6554043.96;564669.76;
216;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Järva vald, Kalitsa küla;6535498.58;611224.27;
217;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Lääneranna vald, Rumba küla;6510821.12;508843.63;
218;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Valjala-Kogula küla;6475682.61;433344.26;
219;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Muhu vald, Lõetsa küla;6500411.55;459934.8;
220;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Pihla küla;6538449.13;415201.86;
221;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Viljandi vald, Mustapali küla;6464307.02;603959.66;
222;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Saue vald, Jõgisoo küla;6572230.19;529093.22;
223;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Saue vald, Jõgisoo küla;6572352.9;529099.64;
224;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Kehtna vald, Linnaaluste küla;6532005.01;553267.45;
225;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Elva vald, Tännassilma küla;6469087.61;634529.95;
226;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Lääneranna vald, Parivere küla;6503712.09;491315.85;
227;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Lääneranna vald, Parivere küla;6503314.76;491866.94;
228;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Kehtna vald, Saunaküla;6535948.21;545415;
229;Karlanurga;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Põlva vald, Adiste küla;6443900.21;685329.85;
230;Karlmarkuse;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Praakli küla;6458861.3;416287.6;
231;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kambja vald, Soinaste küla;6468981.37;659700.91;
232;Karl Reinvaldi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Silla küla;6521288.21;507632.62;
233;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Põltsamaa vald, Pikknurme küla;6498969.15;627514.7;
234;Karl Villa Perga;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Nõo vald, Nõgiaru küla;6465666.29;648502.04;
235;Karliluha;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Põhja-Sakala vald, Võhmassaare küla;6497651.7;588726.5;
236;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Krei küla;6561832.67;564938.17;
237;Karlavälja;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Jõelähtme vald, Parasmäe küla;6586825.37;563491.34;
238;Karlipõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Kadrina vald, Orutaguse küla;6579523.3;626051.18;
239;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Kadrina vald, Orutaguse küla;6579020.97;626149.48;
